epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9944,1.90394,3.7259,2.14157,0.00665,0.81438,0.08958,0.04355,1.37313,4.54431,1.9772,7e-05,7e-05,7e-05
2,54.4078,1.35618,3.45052,1.74269,0.00738,0.8796,0.27935,0.14078,1.06082,4.34033,1.81501,0.000147525,0.000147525,0.000147525
3,85.3888,1.11023,3.0085,1.57007,0.01077,0.8194,0.28283,0.13786,1.21401,4.35171,1.88001,0.00022241,0.00022241,0.00022241
4,110.799,1.10052,2.61874,1.56553,0.01436,0.85284,0.28046,0.1146,1.27311,4.04895,1.90591,0.000294655,0.000294655,0.000294655
5,137.076,1.11147,2.31637,1.53854,0.01653,0.87458,0.23031,0.13868,1.18766,3.9094,1.89753,0.00036426,0.00036426,0.00036426
6,164.092,1.00778,2.13584,1.4578,0.17155,0.34783,0.27088,0.18642,1.37084,3.4126,2.06683,0.000431225,0.000431225,0.000431225
