epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.8187,0.71174,1.06418,1.18319,0.37782,0.63616,0.40549,0.29818,0.95541,1.68965,1.52277,0.0003235,0.0003235,0.0003235
43,89.4477,0.7221,1.0291,1.21972,0.44084,0.5903,0.47921,0.34905,0.97566,1.61022,1.58232,0.000307,0.000307,0.000307
44,91.0324,0.69156,1.02804,1.17782,0.42007,0.56856,0.48178,0.34813,0.93869,1.46978,1.63425,0.0002905,0.0002905,0.0002905
45,92.5359,0.63674,1.00635,1.15082,0.38673,0.7107,0.44804,0.35159,0.86251,1.45965,1.5872,0.000274,0.000274,0.000274
46,94.0657,0.66692,0.98077,1.15992,0.35417,0.765,0.44189,0.34821,0.8249,1.43294,1.56813,0.0002575,0.0002575,0.0002575
47,95.586,0.65839,0.95425,1.16816,0.32276,0.81438,0.42972,0.33432,0.82821,1.44184,1.53752,0.000241,0.000241,0.000241
48,97.1629,0.67542,1.03773,1.19321,0.43853,0.45318,0.43243,0.34665,0.80744,1.40337,1.50191,0.0002245,0.0002245,0.0002245
49,98.7006,0.60842,0.95049,1.14749,0.34104,0.69398,0.43414,0.35083,0.78579,1.37557,1.55008,0.000208,0.000208,0.000208
50,100.256,0.62605,0.96791,1.13252,0.36702,0.66054,0.44354,0.35236,0.83052,1.42188,1.55326,0.0001915,0.0001915,0.0001915
51,107.802,0.7022,1.62184,1.23763,0.52276,0.48376,0.46835,0.37482,0.87118,1.40779,1.56521,0.000175,0.000175,0.000175
52,109.312,0.62782,1.38617,1.23307,0.46563,0.51338,0.46516,0.35952,0.95662,1.44419,1.60096,0.0001585,0.0001585,0.0001585
53,111.034,0.55955,1.37435,1.16194,0.3999,0.67726,0.45184,0.34791,1.0494,1.50166,1.71611,0.000142,0.000142,0.000142
54,112.538,0.62535,1.43294,1.1738,0.41661,0.71572,0.4551,0.34926,1.02771,1.48899,1.7386,0.0001255,0.0001255,0.0001255
55,114.09,0.57473,1.30298,1.16633,0.40861,0.71572,0.46597,0.35102,0.99605,1.48977,1.7329,0.000109,0.000109,0.000109
56,115.637,0.54248,1.23661,1.13954,0.42355,0.70209,0.46558,0.35476,1.00786,1.49709,1.74669,9.25e-05,9.25e-05,9.25e-05
57,117.182,0.55524,1.16029,1.1474,0.4467,0.689,0.47661,0.35597,1.00122,1.47198,1.74906,7.6e-05,7.6e-05,7.6e-05
58,118.719,0.524,1.16515,1.132,0.45884,0.6271,0.47904,0.36093,0.9826,1.4542,1.73284,5.95e-05,5.95e-05,5.95e-05
59,120.31,0.50284,1.05797,1.09963,0.44836,0.63378,0.47902,0.36188,0.967,1.43641,1.71642,4.3e-05,4.3e-05,4.3e-05
60,121.906,0.48134,1.0872,1.08985,0.40125,0.71998,0.47795,0.35899,0.96327,1.43964,1.70512,2.65e-05,2.65e-05,2.65e-05
