epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6656,1.90392,3.72588,2.14167,0.00665,0.81438,0.08972,0.04365,1.37326,4.54462,1.97751,7e-05,7e-05,7e-05
2,72.2626,1.35604,3.4499,1.74549,0.00717,0.85786,0.27379,0.12985,1.09449,4.33915,1.83955,0.000147525,0.000147525,0.000147525
3,100.855,1.10715,3.01785,1.57327,0.01077,0.79766,0.26122,0.12535,1.29229,4.36651,1.90576,0.00022241,0.00022241,0.00022241
4,136.271,1.09264,2.61652,1.56308,0.01533,0.83612,0.27897,0.13922,1.30966,4.13409,1.96406,0.000294655,0.000294655,0.000294655
5,182.514,1.11646,2.32752,1.54728,0.0196,0.8311,0.25516,0.14766,1.26921,3.93146,1.91982,0.00036426,0.00036426,0.00036426
6,207.924,1.03712,2.15481,1.482,0.45648,0.43645,0.35016,0.23759,1.09306,3.5176,1.86799,0.000431225,0.000431225,0.000431225
7,244.324,1.06948,2.06794,1.48132,0.66829,0.28261,0.25655,0.17349,1.30426,3.38863,1.95231,0.00049555,0.00049555,0.00049555
8,276.983,1.06525,2.01374,1.44436,0.16927,0.36957,0.29698,0.18392,1.2255,3.5047,1.87299,0.000557235,0.000557235,0.000557235
9,321.959,1.06329,1.86666,1.44681,0.26837,0.6388,0.33788,0.24531,1.28268,3.4052,2.07463,0.00061628,0.00061628,0.00061628
10,361.427,0.97581,1.76693,1.42315,0.41971,0.53933,0.41004,0.29234,1.21431,3.63103,1.95387,0.000672685,0.000672685,0.000672685
11,394.322,1.00577,1.77763,1.44712,0.3818,0.49666,0.3333,0.1928,1.76587,3.70924,2.43785,0.00072645,0.00072645,0.00072645
12,427.817,0.94575,1.69065,1.38583,0.33056,0.43645,0.27375,0.17506,1.46399,3.82644,2.22855,0.000777575,0.000777575,0.000777575
13,457.201,0.96448,1.67552,1.38559,0.21575,0.39799,0.23376,0.15239,1.35116,3.83287,1.98176,0.000802,0.000802,0.000802
14,493.735,0.93689,1.62113,1.39155,0.35028,0.60702,0.37209,0.23204,1.16103,3.11816,1.73972,0.0007855,0.0007855,0.0007855
15,533.72,0.93418,1.61192,1.34174,0.39079,0.6505,0.45774,0.2659,1.35456,2.9593,1.91348,0.000769,0.000769,0.000769
16,574.651,0.95437,1.57423,1.35098,0.45228,0.67224,0.48742,0.31765,1.20601,2.79292,1.83641,0.0007525,0.0007525,0.0007525
17,615.145,0.92296,1.55645,1.3429,0.38835,0.6505,0.51148,0.3702,1.20446,2.90907,1.77569,0.000736,0.000736,0.000736
18,640.898,0.93333,1.58046,1.33052,0.29973,0.43703,0.29728,0.21268,1.12566,3.34931,1.74585,0.0007195,0.0007195,0.0007195
19,665.47,0.90618,1.48365,1.32767,0.67691,0.41973,0.35907,0.26165,1.1343,3.3128,1.73015,0.000703,0.000703,0.000703
20,691.381,0.94752,1.51663,1.38146,0.45842,0.54013,0.35771,0.25381,1.30743,3.18747,1.87495,0.0006865,0.0006865,0.0006865
