epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,187.611,1.75758,2.26451,1.38969,0.13016,0.33333,0.39317,0.11166,1.80077,4.08973,1.6,0.00012894,0.00012894,0.00012894
44,191.917,1.67383,2.33786,1.28378,0.13016,0.33333,0.39317,0.11166,1.80077,4.08973,1.6,0.000124915,0.000124915,0.000124915
45,196.193,1.5162,2.36997,1.28058,0.01519,1,0.40104,0.0801,1.75099,4.37592,1.43198,0.00012056,0.00012056,0.00012056
46,200.481,1.64464,2.2391,1.32667,0.01519,1,0.40104,0.0801,1.75099,4.37592,1.43198,0.000115875,0.000115875,0.000115875
47,205.05,1.88601,2.42138,1.39827,0.01512,1,0.26515,0.06322,1.7734,4.50263,1.39215,0.00011086,0.00011086,0.00011086
48,209.426,1.58106,2.20797,1.30061,0.01512,1,0.26515,0.06322,1.7734,4.50263,1.39215,0.000105515,0.000105515,0.000105515
49,213.712,1.63153,2.4564,1.43557,0.01516,1,0.31577,0.07624,1.87786,4.59011,1.41565,9.984e-05,9.984e-05,9.984e-05
50,218.191,1.67831,2.29687,1.36744,0.01516,1,0.31577,0.07624,1.87786,4.59011,1.41565,9.3835e-05,9.3835e-05,9.3835e-05
51,222.488,1.48364,3.43928,1.42607,0.01482,1,0.15372,0.04639,1.91104,4.59809,1.4237,8.75e-05,8.75e-05,8.75e-05
52,226.93,1.49308,3.03625,1.26636,0.01482,1,0.15372,0.04639,1.91104,4.59809,1.4237,8.0835e-05,8.0835e-05,8.0835e-05
53,231.384,1.83636,3.30704,1.3083,0.01482,1,0.15372,0.04639,1.91104,4.59809,1.4237,7.384e-05,7.384e-05,7.384e-05
54,235.617,1.46976,3.15973,1.28601,0.01501,1,0.23035,0.04967,1.94586,4.58046,1.43345,6.6515e-05,6.6515e-05,6.6515e-05
55,239.969,1.44884,3.18923,1.22005,0.01501,1,0.23035,0.04967,1.94586,4.58046,1.43345,5.886e-05,5.886e-05,5.886e-05
56,244.51,1.26192,2.90874,1.34194,0.01501,1,0.23035,0.04967,1.94586,4.58046,1.43345,5.0875e-05,5.0875e-05,5.0875e-05
57,248.958,1.52117,2.75791,1.24897,0.01461,1,0.29084,0.06334,1.912,4.40817,1.44141,4.256e-05,4.256e-05,4.256e-05
58,253.077,1.40056,2.97969,1.29367,0.01461,1,0.29084,0.06334,1.912,4.40817,1.44141,3.3915e-05,3.3915e-05,3.3915e-05
59,257.19,1.29547,3.07012,1.23823,0.01461,1,0.29084,0.06334,1.912,4.40817,1.44141,2.494e-05,2.494e-05,2.494e-05
60,261.374,1.5394,3.22342,1.29205,0.01382,1,0.29776,0.07368,1.9289,4.28671,1.48445,1.5635e-05,1.5635e-05,1.5635e-05
