epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.368,1.90394,3.7259,2.14157,0.00665,0.81438,0.08958,0.04355,1.37313,4.54431,1.9772,7e-05,7e-05,7e-05
2,63.7038,1.35618,3.45052,1.74269,0.00738,0.8796,0.27935,0.14078,1.06082,4.34033,1.81501,0.000147525,0.000147525,0.000147525
3,94.3315,1.11023,3.0085,1.57007,0.01077,0.8194,0.28283,0.13786,1.21401,4.35171,1.88001,0.00022241,0.00022241,0.00022241
4,132.334,1.10052,2.61874,1.56553,0.01436,0.85284,0.28046,0.1146,1.27311,4.04895,1.90591,0.000294655,0.000294655,0.000294655
5,166.008,1.11147,2.31637,1.53854,0.01653,0.87458,0.23031,0.13868,1.18766,3.9094,1.89753,0.00036426,0.00036426,0.00036426
6,205.534,1.00778,2.13584,1.4578,0.17155,0.34783,0.27088,0.18642,1.37084,3.4126,2.06683,0.000431225,0.000431225,0.000431225
7,241.009,1.06564,2.09397,1.48064,0.76207,0.36957,0.3501,0.25714,1.26814,3.42191,2.03377,0.00049555,0.00049555,0.00049555
8,272.288,1.06027,1.97879,1.45647,0.25256,0.50669,0.39214,0.27939,1.41352,3.49036,2.13304,0.000557235,0.000557235,0.000557235
9,307.537,1.07968,1.91451,1.43809,0.44135,0.61276,0.40442,0.26312,1.27382,3.23581,1.97248,0.00061628,0.00061628,0.00061628
10,342.549,0.94749,1.76179,1.39501,0.21484,0.46321,0.33629,0.122,1.71506,4.09725,2.41503,0.000672685,0.000672685,0.000672685
11,371.071,0.99262,1.78713,1.40687,0.2698,0.5786,0.28326,0.14995,1.44346,3.85802,2.11326,0.00072645,0.00072645,0.00072645
12,404.37,0.94936,1.71966,1.3862,0.40711,0.50167,0.36261,0.24828,1.1278,3.23295,1.93315,0.000777575,0.000777575,0.000777575
13,437.46,1.01581,1.66112,1.42416,0.40952,0.47924,0.41578,0.2977,1.22024,3.53368,1.92105,0.000802,0.000802,0.000802
14,467.489,0.97106,1.63085,1.39804,0.343,0.68528,0.43319,0.30552,1.19792,4.01173,1.91749,0.0007855,0.0007855,0.0007855
15,502.841,0.9679,1.61311,1.37738,0.39946,0.60702,0.40399,0.25377,1.264,4.15892,1.84648,0.000769,0.000769,0.000769
16,533.342,0.94362,1.58755,1.35025,0.33827,0.52413,0.28476,0.17305,1.34301,4.48566,2.01956,0.0007525,0.0007525,0.0007525
17,561.272,0.90957,1.55739,1.33685,0.46577,0.55071,0.41653,0.23412,1.45379,3.98729,2.33783,0.000736,0.000736,0.000736
18,590.128,0.89826,1.55489,1.33206,0.41504,0.57358,0.40514,0.27426,1.20046,3.12957,2.15644,0.0007195,0.0007195,0.0007195
19,617.533,0.87837,1.483,1.3129,0.37011,0.56689,0.34915,0.22725,1.24439,3.30009,2.14091,0.000703,0.000703,0.000703
20,646.046,0.88735,1.53567,1.34768,0.46566,0.5333,0.48144,0.34046,1.02762,2.703,1.89386,0.0006865,0.0006865,0.0006865
21,674.137,0.84818,1.44616,1.29657,0.55764,0.52147,0.48045,0.32212,0.98373,2.31283,1.78564,0.00067,0.00067,0.00067
22,704.072,0.86141,1.43387,1.29791,0.42628,0.37124,0.32454,0.16728,1.15615,2.77859,1.82383,0.0006535,0.0006535,0.0006535
23,730.901,0.87515,1.39169,1.30611,0.40681,0.47492,0.33465,0.18358,1.16357,2.69258,1.80403,0.000637,0.000637,0.000637
24,768.302,0.83869,1.33567,1.30659,0.50753,0.44816,0.48602,0.34017,1.09368,2.34824,1.73498,0.0006205,0.0006205,0.0006205
25,810.075,0.82321,1.31989,1.25912,0.56409,0.5301,0.48512,0.33163,1.23911,2.23435,1.85523,0.000604,0.000604,0.000604
26,850.042,0.88282,1.40815,1.2892,0.52613,0.47459,0.48708,0.33785,1.17008,2.12302,1.8754,0.0005875,0.0005875,0.0005875
27,883.523,0.84241,1.3139,1.27094,0.49073,0.45819,0.5002,0.35519,1.08037,2.2062,1.80638,0.000571,0.000571,0.000571
28,916.456,0.7826,1.31347,1.24883,0.39247,0.70772,0.53329,0.40202,0.97971,2.09974,1.69955,0.0005545,0.0005545,0.0005545
29,945.741,0.763,1.22905,1.20913,0.46074,0.54415,0.47373,0.35862,0.95364,2.26459,1.70294,0.000538,0.000538,0.000538
30,973.651,0.7807,1.22909,1.24819,0.35039,0.61818,0.44936,0.32092,1.03328,2.3273,1.75353,0.0005215,0.0005215,0.0005215
31,1006.28,0.79661,1.20841,1.24502,0.43233,0.55184,0.45712,0.32354,1.04922,2.20923,1.79933,0.000505,0.000505,0.000505
32,1034.34,0.75829,1.25395,1.20542,0.3791,0.68902,0.43865,0.29486,0.97171,2.29773,1.69143,0.0004885,0.0004885,0.0004885
33,1062.5,0.79143,1.19923,1.252,0.36765,0.68395,0.45353,0.31296,0.97515,2.15021,1.7321,0.000472,0.000472,0.000472
34,1088.37,0.83865,1.24937,1.28571,0.44644,0.51681,0.55604,0.3891,0.94168,1.99829,1.68827,0.0004555,0.0004555,0.0004555
35,1120.26,0.7154,1.10439,1.19308,0.43144,0.74247,0.62716,0.47433,0.9372,2.0732,1.63233,0.000439,0.000439,0.000439
