epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.363,1.90394,3.7259,2.14157,0.00665,0.81438,0.08958,0.04355,1.37313,4.54431,1.9772,7e-05,7e-05,7e-05
2,57.1405,1.35618,3.45052,1.74269,0.00738,0.8796,0.27935,0.14078,1.06082,4.34033,1.81501,0.000147525,0.000147525,0.000147525
3,85.6666,1.11023,3.0085,1.57007,0.01077,0.8194,0.28283,0.13786,1.21401,4.35171,1.88001,0.00022241,0.00022241,0.00022241
